I, [2016-06-23T13:11:52.870263 #11583]  INFO -- Kitchen: -----> Starting Kitchen (v1.5.0)
E, [2016-06-23T13:11:52.870814 #11583] ERROR -- Kitchen: ------Exception-------
E, [2016-06-23T13:11:52.870879 #11583] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-06-23T13:11:52.870932 #11583] ERROR -- Kitchen: Message: Kitchen YAML file /home/chef/cookbooks/.kitchen.yml does not exist.
E, [2016-06-23T13:11:52.870981 #11583] ERROR -- Kitchen: ------Backtrace-------
E, [2016-06-23T13:11:52.871045 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-06-23T13:11:52.871099 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/config.rb:149:in `data'
E, [2016-06-23T13:11:52.871147 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/config.rb:128:in `suites'
E, [2016-06-23T13:11:52.871194 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/config.rb:179:in `filter_instances'
E, [2016-06-23T13:11:52.871241 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/config.rb:138:in `build_instances'
E, [2016-06-23T13:11:52.871494 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/config.rb:114:in `instances'
E, [2016-06-23T13:11:52.871555 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-06-23T13:11:52.871616 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-06-23T13:11:52.871665 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/command/test.rb:43:in `block in call'
E, [2016-06-23T13:11:52.871712 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-06-23T13:11:52.871759 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/command/test.rb:41:in `call'
E, [2016-06-23T13:11:52.871818 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-06-23T13:11:52.871865 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/cli.rb:227:in `test'
E, [2016-06-23T13:11:52.871912 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-06-23T13:11:52.871958 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-06-23T13:11:52.872005 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/cli.rb:321:in `invoke_task'
E, [2016-06-23T13:11:52.872052 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-06-23T13:11:52.872099 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-06-23T13:11:52.872145 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-06-23T13:11:52.872193 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2016-06-23T13:11:52.872240 #11583] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.5.0/bin/kitchen:13:in `<top (required)>'
E, [2016-06-23T13:11:52.872303 #11583] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:17:in `load'
E, [2016-06-23T13:11:52.872373 #11583] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:17:in `<main>'
E, [2016-06-23T13:11:52.872422 #11583] ERROR -- Kitchen: ----------------------
